ticker,event_id,event_name,calendar_date,mapped_trading_date,event_type,source_reference,severity_score_asset_specific,severity_label_asset_specific,severity_rule
SPY,E01,Dot-com selloff,2000-04-14,2000-04-14,bear_market,Federal Reserve History dot-com bubble; NBER business-cycle chronology,0.11436734084058575,high,"severity_score=max_drawdown_abs within mapped_trading_date +/- 20 trading days; critical=top tercile, high=middle tercile, medium=bottom tercile"
SPY,E02,September 11 reopening,2001-09-17,2001-09-17,exogenous_shock,NYSE market reopening after September 11 attacks; SEC market structure reports,0.1816541977721262,critical,"severity_score=max_drawdown_abs within mapped_trading_date +/- 20 trading days; critical=top tercile, high=middle tercile, medium=bottom tercile"
SPY,E03,WorldCom selloff,2002-07-24,2002-07-24,credit_accounting,SEC WorldCom accounting fraud litigation; Federal Reserve History corporate accounting scandals,0.19591684339011606,critical,"severity_score=max_drawdown_abs within mapped_trading_date +/- 20 trading days; critical=top tercile, high=middle tercile, medium=bottom tercile"
SPY,E04,Quant crisis,2007-08-09,2007-08-09,liquidity_shock,Khandani and Lo (2007) quant crisis; Federal Reserve subprime liquidity stress accounts,0.09047510253709945,medium,"severity_score=max_drawdown_abs within mapped_trading_date +/- 20 trading days; critical=top tercile, high=middle tercile, medium=bottom tercile"
SPY,E05,Lehman crisis,2008-09-29,2008-09-29,systemic_crisis,Financial Crisis Inquiry Commission report; NBER Great Recession chronology,0.34439037988736054,critical,"severity_score=max_drawdown_abs within mapped_trading_date +/- 20 trading days; critical=top tercile, high=middle tercile, medium=bottom tercile"
SPY,E06,Flash crash,2010-05-06,2010-05-06,microstructure_shock,CFTC-SEC staff report on the May 6 2010 flash crash,0.12306011003672446,high,"severity_score=max_drawdown_abs within mapped_trading_date +/- 20 trading days; critical=top tercile, high=middle tercile, medium=bottom tercile"
SPY,E07,U.S. downgrade selloff,2011-08-08,2011-08-08,sovereign_credit,Standard & Poor's U.S. sovereign downgrade announcement; Federal Reserve market commentary,0.16584928542732014,critical,"severity_score=max_drawdown_abs within mapped_trading_date +/- 20 trading days; critical=top tercile, high=middle tercile, medium=bottom tercile"
SPY,E08,China devaluation selloff,2015-08-24,2015-08-24,global_growth,Federal Reserve and BIS commentary on August 2015 China devaluation/global equity selloff,0.11170638111024489,medium,"severity_score=max_drawdown_abs within mapped_trading_date +/- 20 trading days; critical=top tercile, high=middle tercile, medium=bottom tercile"
SPY,E09,Volmageddon,2018-02-05,2018-02-05,volatility_shock,Cboe volatility product event discussions; SEC/CFTC market volatility commentary,0.10101853162547658,medium,"severity_score=max_drawdown_abs within mapped_trading_date +/- 20 trading days; critical=top tercile, high=middle tercile, medium=bottom tercile"
SPY,E10,Q4 2018 selloff,2018-12-24,2018-12-24,monetary_liquidity,Federal Reserve Financial Stability Report discussion of 2018 Q4 tightening/liquidity stress,0.15607430322954252,high,"severity_score=max_drawdown_abs within mapped_trading_date +/- 20 trading days; critical=top tercile, high=middle tercile, medium=bottom tercile"
SPY,E11,COVID crash,2020-03-16,2020-03-16,pandemic_shock,Federal Reserve Financial Stability Report May 2020; NBER COVID recession chronology,0.3371725495146518,critical,"severity_score=max_drawdown_abs within mapped_trading_date +/- 20 trading days; critical=top tercile, high=middle tercile, medium=bottom tercile"
