event_id,event_name,calendar_date,event_type,inclusion_rule,source_reference
E01,Dot-com selloff,2000-04-14,bear_market,"Widely documented U.S. equity-market stress episode between 2000 and 2023 with broad market relevance to SPY/S&P 500; fixed before detector evaluation.","Federal Reserve History dot-com bubble; NBER business-cycle chronology"
E02,September 11 reopening,2001-09-17,exogenous_shock,"Widely documented U.S. equity-market stress episode between 2000 and 2023 with broad market relevance to SPY/S&P 500; fixed before detector evaluation.","NYSE market reopening after September 11 attacks; SEC market structure reports"
E03,WorldCom selloff,2002-07-24,credit_accounting,"Widely documented U.S. equity-market stress episode between 2000 and 2023 with broad market relevance to SPY/S&P 500; fixed before detector evaluation.","SEC WorldCom accounting fraud litigation; Federal Reserve History corporate accounting scandals"
E04,Quant crisis,2007-08-09,liquidity_shock,"Widely documented U.S. equity-market stress episode between 2000 and 2023 with broad market relevance to SPY/S&P 500; fixed before detector evaluation.","Khandani and Lo (2007) quant crisis; Federal Reserve subprime liquidity stress accounts"
E05,Lehman crisis,2008-09-29,systemic_crisis,"Widely documented U.S. equity-market stress episode between 2000 and 2023 with broad market relevance to SPY/S&P 500; fixed before detector evaluation.","Financial Crisis Inquiry Commission report; NBER Great Recession chronology"
E06,Flash crash,2010-05-06,microstructure_shock,"Widely documented U.S. equity-market stress episode between 2000 and 2023 with broad market relevance to SPY/S&P 500; fixed before detector evaluation.","CFTC-SEC staff report on the May 6 2010 flash crash"
E07,U.S. downgrade selloff,2011-08-08,sovereign_credit,"Widely documented U.S. equity-market stress episode between 2000 and 2023 with broad market relevance to SPY/S&P 500; fixed before detector evaluation.","Standard & Poor's U.S. sovereign downgrade announcement; Federal Reserve market commentary"
E08,China devaluation selloff,2015-08-24,global_growth,"Widely documented U.S. equity-market stress episode between 2000 and 2023 with broad market relevance to SPY/S&P 500; fixed before detector evaluation.","Federal Reserve and BIS commentary on August 2015 China devaluation/global equity selloff"
E09,Volmageddon,2018-02-05,volatility_shock,"Widely documented U.S. equity-market stress episode between 2000 and 2023 with broad market relevance to SPY/S&P 500; fixed before detector evaluation.","Cboe volatility product event discussions; SEC/CFTC market volatility commentary"
E10,Q4 2018 selloff,2018-12-24,monetary_liquidity,"Widely documented U.S. equity-market stress episode between 2000 and 2023 with broad market relevance to SPY/S&P 500; fixed before detector evaluation.","Federal Reserve Financial Stability Report discussion of 2018 Q4 tightening/liquidity stress"
E11,COVID crash,2020-03-16,pandemic_shock,"Widely documented U.S. equity-market stress episode between 2000 and 2023 with broad market relevance to SPY/S&P 500; fixed before detector evaluation.","Federal Reserve Financial Stability Report May 2020; NBER COVID recession chronology"
E12,Inflation selloff,2022-06-13,monetary_inflation,"Widely documented U.S. equity-market stress episode between 2000 and 2023 with broad market relevance to SPY/S&P 500; fixed before detector evaluation.","Federal Reserve Financial Stability Report 2022; market stress around inflation/FOMC repricing"
E13,Bank stress,2023-03-13,banking_stress,"Widely documented U.S. equity-market stress episode between 2000 and 2023 with broad market relevance to SPY/S&P 500; fixed before detector evaluation.","Federal Reserve review of Silicon Valley Bank; Financial Stability Report 2023 banking stress"
